x_client	y_client	Weight
43.23333825	76.8900027	1.0
43.3122579	76.9752398	1.0
43.1932605	76.901345	1.0
43.19965915	76.8747711	3.0
43.29321655	76.83067555	1.0
43.2356483	76.8265295	1.0
43.2397943	76.9328418	1.0
43.2505928	76.8304553	1.0
43.2347135	76.8668487	1.0
43.2095505	76.8747711	7.0
43.2399621	76.9387841	1.0
43.20877995	76.7997088	1.0
43.2479771	76.924966	7.0
43.2211294	76.7955286	1.0
43.2091694	76.8711484	1.0
43.2347777	76.9081689	1.0
43.22923415	76.91922605	2.0
43.2288975	76.9530396	1.0
43.2026422	76.8773658	1.0
43.3215822	76.9665564	2.0
43.2415226	76.8782045	1.0
43.2482662	76.9438058	1.0
43.2357087	76.8296549	2.0
43.2549398	76.9359245	1.0
43.2339813	76.8863283	13.0
43.2000039	76.9208728	1.0
43.2000039	76.9208728	1.0
43.17061515	76.81662085	1.0
43.278721	76.9481629	6.0
43.2470398	76.9209562	1.0
43.2288975	76.9530396	1.0
43.3229015	76.9369126	1.0
43.2316001	76.9175024	13.0
43.1970312	76.8695335	1.0
43.2221718	76.8729089	1.0
43.19965915	76.8747711	1.0
43.1969436	76.8817035	1.0
43.2342484	76.95587475	1.0
43.3209424	76.9103343	7.0
43.2222484	76.8230395	3.0
43.2144014	76.8713416	1.0
43.2147325	76.9238676	1.0
43.2491872	76.9153096	2.0
43.25361855	76.9523287	8.0
43.2278943	76.8925013	15.0
43.2352285	76.9491151	3.0
43.361554	76.99480365	1.0
43.361554	76.99480365	13.0
43.2430649	76.9379738	4.0
43.24310815	76.81210395	19.0
43.2468191	76.9251433	2.0
43.2396503	76.8590371	1.0
43.2182961	76.8942994	1.0
43.2413045	76.9027449	11.0
43.2550443	76.9252182	1.0
43.222345	76.8734033	1.0
43.2356483	76.8265295	1.0
43.2566138	76.9364649	1.0
43.2405463	76.7886921	4.0
43.2339001	76.8847746	1.0
43.2251172	76.8943592	2.0
43.2527063	76.7993742	1.0
43.29321655	76.83067555	1.0
43.3935364	76.9447905	1.0
43.25604695	76.7966867	1.0
43.2834169	76.9522646	1.0
43.2452709	76.936471	3.0
43.2651828	76.9601917	1.0
43.195281	76.8641783	1.0
43.2768408	76.9375116	2.0
43.2438991	76.8840632	1.0
43.2671466	76.8701593	2.0
43.3567329	76.9224159	1.0
43.2011559	76.9054639	25.0
43.2129451	76.8431328	1.0
43.270889	76.8623183	1.0
43.2543134	76.832051	1.0
43.248029	76.9402457	10.0
43.2129451	76.8431328	25.0
43.2505469	76.9052195	1.0
43.2634194	76.917029	1.0
43.260341	76.911649	1.0
43.253658	76.8793985	1.0
43.2882209	76.9865495	6.0
43.2517117	76.9463118	5.0
43.19880735	76.91266385	10.0
43.37716095	76.97742755	26.0
43.2201681	76.7964853	1.0
43.3557679	76.9255099	1.0
43.19995115	76.8544668	3.0
43.2217818	76.8177401	12.0
43.2368453	76.8897815	22.0
43.20577	76.9012284	2.0
43.1972589	76.8891783	10.0
43.2290804	76.9423292	1.0
43.2101992	76.8715631	1.0
43.2094248	76.8888682	1.0
43.2122625	76.9793961	2.0
43.21633405	76.99826	1.0
43.2341886	76.899253	9.0
43.2725187	76.8872584	0.0
