x_client	y_client	Weight
43.2789729	76.818901	10.0
43.19680975	76.90404455	10.0
43.225429	76.8474233	10.0
43.26606785	76.94080315	10.0
43.2874636	76.9233095	10.0
43.2652815	76.9008754	10.0
43.2527063	76.7993742	10.0
43.2330573	76.8064161	10.0
43.219912	76.835382	10.0
43.2410707	76.8767628	10.0
43.28052675	76.8240854	10.0
43.2430212	76.9287971	10.0
43.2213614	76.9624347	10.0
43.23028355	76.95031025	10.0
43.2533847	76.9527895	10.0
43.2905134	76.8383748	10.0
43.2905134	76.8383748	10.0
43.2219213	76.795345	10.0
43.23337015	76.8413634	10.0
43.2122625	76.9793961	10.0
43.2535255	76.8926332	10.0
43.2161626	76.8680475	10.0
43.2236124	76.8766322	10.0
43.1901586	76.8738807	10.0
43.2500853	76.9619591	10.0
43.2854629	76.9997802	10.0
43.25052625	76.90716385	10.0
43.222345	76.8734033	10.0
43.220762	76.89693855	10.0
43.257839	76.936721	10.0
43.3567329	76.9224159	10.0
43.2337694	76.8820047	10.0
43.2475785	76.88236115	10.0
43.2517117	76.9463118	10.0
43.1827534	76.8978758	10.0
43.2206307	76.8768028	10.0
43.2117128	76.8767911	10.0
43.3117579	76.974525	10.0
43.1933722	76.9030888	10.0
43.2981718	76.8608297	10.0
43.2726726	76.8457504	10.0
43.2905134	76.8383748	10.0
43.1689272	76.8749624	10.0
43.24607065	76.7467212	10.0
43.2357087	76.82801995	10.0
43.2458803	76.852914	10.0
43.2101955	76.8833388	10.0
43.2399912	76.9448163	10.0
43.2494834	76.9202358	10.0
43.30654725	76.9242667	10.0
43.2725187	76.8872584	0.0
