x_client	y_client	Weight
43.2208316	76.8240483	10.0
43.2154981	76.8840997	10.0
43.240664	76.9280814	10.0
43.27554615	76.83790295	10.0
43.2358186	76.9112626	10.0
43.2600439	76.9324816	10.0
43.2330573	76.8064161	10.0
43.2330573	76.8064161	10.0
43.2479563	76.8767348	10.0
43.2532031	76.9391893	10.0
43.2603661	76.9280472	10.0
43.2454765	76.9562087	10.0
43.2321997	76.9122213	10.0
43.224335	76.8975725	10.0
43.2130178	76.8882848	10.0
43.2059424	76.90057415	10.0
43.2546669	76.9375684	10.0
43.2011559	76.9054639	10.0
43.2058435	76.8852249	10.0
43.2288285	76.8972716	10.0
43.29321655	76.83067555	10.0
43.2533847	76.9527895	10.0
43.2632018	76.821281	10.0
43.3122579	76.9752398	10.0
43.18919345	76.80005555	10.0
43.23714075	76.91526495	10.0
43.2286716	76.9607095	10.0
43.4157086	76.89616445	10.0
43.3216629	76.9107413	10.0
43.2809552	76.9582836	10.0
43.2552874	76.8617849	10.0
43.2425542	76.9066379	10.0
43.2296507	76.9305472	10.0
43.23585545	76.82193805	10.0
43.2079087	76.8663757	10.0
43.2460348	76.9305564	10.0
43.2695574	76.9814978	10.0
43.2520819	76.9019754	10.0
43.319239	76.9276326	10.0
43.250854	76.8966637	10.0
43.20877995	76.7997088	10.0
43.2207007	76.8241354	10.0
43.3254602	76.8872619	10.0
43.244416	76.8925882	10.0
43.2395975	76.9305008	10.0
43.20419165	76.89607795	10.0
43.2530938	76.8868498	10.0
43.2297926	76.9591751	10.0
43.2460527	76.9207761	10.0
43.2459951	76.9034633	10.0
43.2725187	76.8872584	0.0
