x_client	y_client	Weight
43.2208059	76.8432206	10.0
43.2177912	76.86544325	10.0
43.21770195	76.9441652	10.0
43.2343522	76.8394116	10.0
43.226981	76.94396	10.0
43.2471483	76.9061985	10.0
43.236885	76.8899541	10.0
43.22204175	76.87420245	10.0
43.2241282	76.8548698	10.0
43.3348824	76.9424191	10.0
43.2682691	76.9647601	10.0
43.2325682	76.9025853	10.0
43.2573581	76.81691385	10.0
43.2471426	76.9000635	42.0
43.2442507	76.8898861	42.0
43.233634	76.84046605	42.0
43.23631005	76.83131375	42.0
43.3008465	76.9422584	42.0
43.2489519	76.931041	42.0
43.2020862	76.8744506	42.0
43.2725187	76.8872584	0.0
