x1,y1,x2,y2,distance
43.2721211,76.833837,43.2721211,76.833837,0.0
43.2721211,76.833837,43.3430581,76.9895414,20702.0
43.2721211,76.833837,43.1951929,76.8894358,11990.6
43.2721211,76.833837,43.2189262,76.9505989,15900.8
43.2721211,76.833837,43.2108049,76.808778,11247.2
43.2721211,76.833837,43.2412847,76.9596077,14427.8
43.2721211,76.833837,43.25763545,76.9071528,9038.3
43.2721211,76.833837,43.24607065,76.7467212,10831.8
43.2721211,76.833837,43.2589798,76.9629689,13660.8
43.2721211,76.833837,43.2296255,76.8926488,9708.8
43.2721211,76.833837,43.3282151,76.9631881,17845.3
43.2721211,76.833837,43.2284181,76.8443961,7951.5
43.2721211,76.833837,43.2087478,76.8665559,9041.0
43.2721211,76.833837,43.2671466,76.8701593,8382.0
43.2721211,76.833837,43.2473742,76.8433114,5480.2
43.2721211,76.833837,43.3006174,76.8385396,4825.5
43.2721211,76.833837,43.2763647,76.9222959,10663.2
43.2721211,76.833837,43.2071793,76.8839189,11336.6
43.2721211,76.833837,43.238668,76.76490785,10933.1
43.2721211,76.833837,43.2204669,76.8152383,7943.7
43.2721211,76.833837,43.2725187,76.8872584,7214.5
43.3430581,76.9895414,43.2721211,76.833837,18721.1
43.3430581,76.9895414,43.3430581,76.9895414,0.0
43.3430581,76.9895414,43.1951929,76.8894358,23142.2
43.3430581,76.9895414,43.2189262,76.9505989,18389.2
43.3430581,76.9895414,43.2108049,76.808778,26802.3
43.3430581,76.9895414,43.2412847,76.9596077,14585.3
43.3430581,76.9895414,43.25763545,76.9071528,15536.3
43.3430581,76.9895414,43.24607065,76.7467212,28611.9
43.3430581,76.9895414,43.2589798,76.9629689,12756.2
43.3430581,76.9895414,43.2296255,76.8926488,18863.2
43.3430581,76.9895414,43.3282151,76.9631881,5117.5
43.3430581,76.9895414,43.2284181,76.8443961,23197.8
43.3430581,76.9895414,43.2087478,76.8665559,24287.2
43.3430581,76.9895414,43.2671466,76.8701593,14945.6
43.3430581,76.9895414,43.2473742,76.8433114,20726.4
43.3430581,76.9895414,43.3006174,76.8385396,18592.5
43.3430581,76.9895414,43.2763647,76.9222959,11951.7
43.3430581,76.9895414,43.2071793,76.8839189,21219.2
43.3430581,76.9895414,43.238668,76.76490785,26488.3
43.3430581,76.9895414,43.2204669,76.8152383,23453.5
43.3430581,76.9895414,43.2725187,76.8872584,14545.7
43.1951929,76.8894358,43.2721211,76.833837,12316.5
43.1951929,76.8894358,43.3430581,76.9895414,26631.3
43.1951929,76.8894358,43.1951929,76.8894358,0.0
43.1951929,76.8894358,43.2189262,76.9505989,8275.8
43.1951929,76.8894358,43.2108049,76.808778,9486.8
43.1951929,76.8894358,43.2412847,76.9596077,10481.3
43.1951929,76.8894358,43.25763545,76.9071528,8825.7
43.1951929,76.8894358,43.24607065,76.7467212,17906.4
43.1951929,76.8894358,43.2589798,76.9629689,12721.8
43.1951929,76.8894358,43.2296255,76.8926488,4507.8
43.1951929,76.8894358,43.3282151,76.9631881,23774.6
43.1951929,76.8894358,43.2284181,76.8443961,5739.9
43.1951929,76.8894358,43.2087478,76.8665559,3509.7
43.1951929,76.8894358,43.2671466,76.8701593,14311.3
43.1951929,76.8894358,43.2473742,76.8433114,9165.3
43.1951929,76.8894358,43.3006174,76.8385396,16986.3
