x1,y1,x2,y2,distance
43.23585545,76.82193805,43.23585545,76.82193805,0.0
43.23585545,76.82193805,43.2193233,76.7947241,5184.7
43.23585545,76.82193805,43.2605883,76.9491868,12884.7
43.23585545,76.82193805,43.2828009,76.9987986,17392.7
43.23585545,76.82193805,43.32220975,76.91487865,14257.8
43.23585545,76.82193805,43.3194477,76.9579068,16747.6
43.23585545,76.82193805,43.1844391,76.8257847,7336.2
43.23585545,76.82193805,43.23277055,76.9524315,14238.5
43.23585545,76.82193805,43.3236444,76.9222648,16671.6
43.23585545,76.82193805,43.2219172,76.8836937,8041.5
43.23585545,76.82193805,43.2611181,76.8934401,7079.7
43.23585545,76.82193805,43.2903029,76.9444451,13093.7
43.23585545,76.82193805,43.3117579,76.974525,17319.3
43.23585545,76.82193805,43.2489691,76.8682049,4792.2
43.23585545,76.82193805,43.2427859,76.8271659,1197.2
43.23585545,76.82193805,43.290116,76.9837575,16953.8
43.23585545,76.82193805,43.3215741,76.9144482,16426.1
43.23585545,76.82193805,43.3234533,76.9179706,16748.5
43.23585545,76.82193805,43.2204368,76.7857635,9273.5
43.23585545,76.82193805,43.18488015,76.9262757,13296.3
43.23585545,76.82193805,43.2725187,76.8872584,7478.4
43.2193233,76.7947241,43.23585545,76.82193805,5515.5
43.2193233,76.7947241,43.2193233,76.7947241,0.0
43.2193233,76.7947241,43.2605883,76.9491868,16832.5
43.2193233,76.7947241,43.2828009,76.9987986,21340.5
43.2193233,76.7947241,43.32220975,76.91487865,18205.6
43.2193233,76.7947241,43.3194477,76.9579068,20695.4
43.2193233,76.7947241,43.1844391,76.8257847,6088.6
43.2193233,76.7947241,43.23277055,76.9524315,18283.8
43.2193233,76.7947241,43.3236444,76.9222648,20619.4
43.2193233,76.7947241,43.2219172,76.8836937,9960.1
43.2193233,76.7947241,43.2611181,76.8934401,11027.5
43.2193233,76.7947241,43.2903029,76.9444451,17041.5
43.2193233,76.7947241,43.3117579,76.974525,21267.1
43.2193233,76.7947241,43.2489691,76.8682049,9793.8
43.2193233,76.7947241,43.2427859,76.8271659,5144.9
43.2193233,76.7947241,43.290116,76.9837575,20901.6
43.2193233,76.7947241,43.3215741,76.9144482,20373.9
