x_coord	y_coord	capacity	time_start	time_end	delivery_time
90.35670192090488	83.20848322653525	21.505218027752175	600	1140	10
30.24422461135401	72.44984542521696	11.154526757797669	600	1140	10
48.3474038036655	61.59069857556552	9.37476218255756	600	1140	10
17.843734011533087	40.87393556893526	27.404039191992347	600	1140	10
17.370171978934714	16.49247340247725	9.746763066633015	600	1140	10
44.46276272745616	17.993513135613604	15.583530908488019	600	1140	10
72.42134586938887	84.39403458424962	19.628189148777743	600	1140	10
60.6769233749803	37.908655881225094	25.75390737538493	600	1140	10
31.790333231268384	58.779732633310864	15.976215967699861	600	1140	10
80.90911212669415	69.0724775810943	14.189557655759224	600	1140	10
0.1847007148289337	47.77855980310398	27.76071140176513	600	1140	10
98.7727880725957	99.31971276661409	14.040519851988488	600	1140	10
9.538625316945925	49.45668431747892	7.7748766202225355	600	1140	10
19.52901401200546	50.980154783333816	29.854478780905456	600	1140	10
86.56154578301219	24.308078426711678	6.504556875868371	600	1140	10
3.3776552559830253	49.492687738877294	8.151537053148013	600	1140	10
29.871005884950275	6.682704087978664	24.86281050155213	600	1140	10
34.20528098935519	42.78585760325052	9.508525402752	600	1140	10
42.970881988830875	34.013515139102005	15.435972653382645	600	1140	10
82.22005008104992	58.03280603839068	10.480365343025191	600	1140	10
69.54018532958223	17.920458709663944	0	60	1440	0
